,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
309,2015-10-03,Saturday,Sunderland,2,2,West Ham,Draw,Stadium of Light,Sunderland
310,2015-09-29,Tuesday,West Brom,2,3,Everton,Everton,The Hawthorns,West Bromwich
311,2015-09-27,Sunday,Newcastle,2,2,Chelsea,Draw,St. James' Park,Newcastle
312,2015-09-27,Sunday,Watford,0,1,Crystal Palace,Crystal Palace,Vicarage Road,Watford
313,2015-09-26,Saturday,Spurs,4,1,Man City,Spurs,White Hart Lane,London
314,2015-09-26,Saturday,Leicester,2,5,Arsenal,Arsenal,King Power Stadium,Leicester
315,2015-09-26,Saturday,Liverpool,3,2,Aston Villa,Liverpool,Anfield,Liverpool
316,2015-09-26,Saturday,Man Utd,3,0,Sunderland,Man Utd,Old Trafford,Manchester
317,2015-09-26,Saturday,Southampton,3,1,Swansea,Southampton,St. Mary's Stadium,Southampton
318,2015-09-26,Saturday,Stoke,2,1,Bournemouth,Stoke,bet365 Stadium,Stoke
319,2015-09-26,Saturday,West Ham,2,2,Norwich,Draw,Boleyn Ground,London
320,2015-09-20,Sunday,Man City,1,2,West Ham,West Ham,Etihad Stadium,Manchester
321,2015-09-20,Sunday,Spurs,1,0,Crystal Palace,Spurs,White Hart Lane,London
322,2015-09-20,Sunday,Liverpool,1,1,Norwich,Draw,Anfield,Liverpool
323,2015-09-20,Sunday,Southampton,2,3,Man Utd,Man Utd,St. Mary's Stadium,Southampton
324,2015-09-19,Saturday,Chelsea,2,0,Arsenal,Chelsea,Stamford Bridge,London
325,2015-09-19,Saturday,Bournemouth,2,0,Sunderland,Bournemouth,Goldsands Stadium,Bournemouth
326,2015-09-19,Saturday,Aston Villa,0,1,West Brom,West Brom,Villa Park,Birmingham
327,2015-09-19,Saturday,Newcastle,1,2,Watford,Watford,St. James' Park,Newcastle
328,2015-09-19,Saturday,Stoke,2,2,Leicester,Draw,bet365 Stadium,Stoke
329,2015-09-19,Saturday,Swansea,0,0,Everton,Draw,Liberty Stadium,Swansea
330,2015-09-15,Tuesday,West Ham,2,0,Newcastle,West Ham,Boleyn Ground,London
331,2015-09-13,Sunday,Man Utd,3,1,Liverpool,Man Utd,Old Trafford,Manchester
332,2015-09-13,Sunday,Sunderland,0,1,Spurs,Spurs,Stadium of Light,Sunderland
333,2015-09-13,Sunday,Leicester,3,2,Aston Villa,Leicester,King Power Stadium,Leicester
334,2015-09-12,Saturday,Everton,3,1,Chelsea,Everton,Goodison Park,Liverpool
335,2015-09-12,Saturday,Arsenal,2,0,Stoke,Arsenal,Emirates Stadium,London
336,2015-09-12,Saturday,Crystal Palace,0,1,Man City,Man City,Selhurst Park,London
337,2015-09-12,Saturday,Norwich,3,1,Bournemouth,Norwich,Carrow Road,Norwich
338,2015-09-12,Saturday,Watford,1,0,Swansea,Watford,Vicarage Road,Watford
339,2015-09-12,Saturday,West Brom,0,0,Southampton,Draw,The Hawthorns,West Bromwich
340,2015-08-30,Sunday,Spurs,0,0,Everton,Draw,White Hart Lane,London
341,2015-08-30,Sunday,Southampton,3,0,Norwich,Southampton,St. Mary's Stadium,Southampton
342,2015-08-30,Sunday,Swansea,2,1,Man Utd,Swansea,Liberty Stadium,Swansea
343,2015-08-29,Saturday,Newcastle,0,1,Arsenal,Arsenal,St. James' Park,Newcastle
344,2015-08-29,Saturday,Bournemouth,1,1,Leicester,Draw,Goldsands Stadium,Bournemouth
345,2015-08-29,Saturday,Aston Villa,2,2,Sunderland,Draw,Villa Park,Birmingham
346,2015-08-29,Saturday,Chelsea,1,2,Crystal Palace,Crystal Palace,Stamford Bridge,London
347,2015-08-29,Saturday,Liverpool,0,3,West Ham,West Ham,Anfield,Liverpool
348,2015-08-29,Saturday,Man City,2,0,Watford,Man City,Etihad Stadium,Manchester
349,2015-08-29,Saturday,Stoke,0,1,West Brom,West Brom,bet365 Stadium,Stoke
